ProductID,Product,Category,Units_Sold,ProductionSource
P0001,Yogurt,Dairy,244,Factory A
P0002,Yogurt,Dairy,278,Imported (China)
P0003,Milk,Dairy,793,Local Farm
P0004,Milk,Dairy,274,Factory B
P0005,Yogurt,Dairy,530,Factory A
P0006,Butter,Dairy,713,Local Farm
P0007,Cheese,Dairy,344,Local Farm
P0008,Ice Cream,Dairy,865,Imported (China)
P0009,Ice Cream,Dairy,145,Local Manufacturer
P0010,Butter,Dairy,497,Local Manufacturer
P0011,Yogurt,Dairy,825,Imported (USA)
P0012,Yogurt,Dairy,795,Factory B
P0013,Ice Cream,Dairy,791,Imported (China)
P0014,Cheese,Dairy,410,Imported (USA)
P0015,Ice Cream,Dairy,237,Imported (China)
P0016,Yogurt,Dairy,564,Factory B
P0017,Ice Cream,Dairy,666,Imported (China)
P0018,Milk,Dairy,657,Local Farm
P0019,Milk,Dairy,861,Factory A
P0020,Milk,Dairy,529,Local Farm
P0021,Cheese,Dairy,587,Local Manufacturer
P0022,Milk,Dairy,250,Factory B
P0023,Butter,Dairy,538,Factory A
P0024,Milk,Dairy,380,Imported (USA)
P0025,Butter,Dairy,401,Local Manufacturer
P0026,Yogurt,Dairy,898,Factory A
P0027,Milk,Dairy,531,Imported (USA)
P0028,Yogurt,Dairy,559,Imported (China)
P0029,Ice Cream,Dairy,867,Factory A
P0030,Milk,Dairy,295,Factory A
P0031,Butter,Dairy,445,Factory B
P0032,Cheese,Dairy,572,Imported (China)
P0033,Milk,Dairy,384,Imported (USA)
P0034,Yogurt,Dairy,668,Local Farm
P0035,Milk,Dairy,60,Factory A
P0036,Yogurt,Dairy,696,Factory B
P0037,Ice Cream,Dairy,250,Local Farm
P0038,Butter,Dairy,89,Imported (China)
P0039,Cheese,Dairy,268,Imported (USA)
P0040,Milk,Dairy,142,Local Manufacturer
P0041,Ice Cream,Dairy,561,Local Manufacturer
P0042,Ice Cream,Dairy,283,Local Manufacturer
P0043,Yogurt,Dairy,641,Local Manufacturer
P0044,Butter,Dairy,424,Factory A
P0045,Ice Cream,Dairy,871,Local Manufacturer
P0046,Yogurt,Dairy,382,Factory A
P0047,Butter,Dairy,425,Imported (China)
P0048,Milk,Dairy,138,Local Farm
P0049,Ice Cream,Dairy,244,Factory B
P0050,Milk,Dairy,406,Imported (China)
P0051,Ice Cream,Dairy,783,Local Farm
P0052,Ice Cream,Dairy,507,Local Manufacturer
P0053,Ice Cream,Dairy,664,Local Manufacturer
P0054,Milk,Dairy,382,Imported (USA)
P0055,Cheese,Dairy,320,Imported (USA)
P0056,Milk,Dairy,540,Factory B
P0057,Ice Cream,Dairy,503,Factory B
P0058,Butter,Dairy,674,Local Farm
P0059,Cheese,Dairy,872,Local Manufacturer
P0060,Milk,Dairy,367,Local Farm
P0061,Cheese,Dairy,472,Local Farm
P0062,Cheese,Dairy,406,Imported (USA)
P0063,Milk,Dairy,334,Local Farm
P0064,Ice Cream,Dairy,345,Local Manufacturer
P0065,Cheese,Dairy,270,Local Manufacturer
P0066,Butter,Dairy,506,Factory B
P0067,Butter,Dairy,204,Local Manufacturer
P0068,Cheese,Dairy,84,Local Farm
P0069,Milk,Dairy,67,Local Manufacturer
P0070,Milk,Dairy,525,Local Manufacturer
P0071,Butter,Dairy,375,Local Manufacturer
P0072,Yogurt,Dairy,675,Factory A
P0073,Containers,Packaging,305,Factory A
P0074,Containers,Packaging,351,Local Farm
P0075,Containers,Packaging,518,Local Manufacturer
P0076,Plastic Wrap,Packaging,289,Imported (China)
P0077,Cardboard Box,Packaging,802,Factory A
P0078,Packaging,Packaging,886,Factory B
P0079,Styrofoam,Packaging,566,Factory B
P0080,Styrofoam,Packaging,420,Factory B
P0081,Cardboard Box,Packaging,780,Factory A
P0082,Packaging,Packaging,545,Imported (USA)
P0083,Containers,Packaging,888,Factory B
P0084,Containers,Packaging,697,Factory B
P0085,Cardboard Box,Packaging,411,Local Manufacturer
P0086,Packaging,Packaging,717,Imported (China)
P0087,Packaging,Packaging,317,Local Farm
