ProductID,Product,Category,Units_Sold,ProductionSource
P0001,Butter,Dairy,331,Factory A
P0002,Ice Cream,Dairy,136,Local Farm
P0003,Ice Cream,Dairy,151,Local Farm
P0004,Butter,Dairy,884,Imported (China)
P0005,Butter,Dairy,175,Factory A
P0006,Milk,Dairy,753,Imported (China)
P0007,Milk,Dairy,469,Local Farm
P0008,Butter,Dairy,497,Imported (China)
P0009,Milk,Dairy,701,Imported (USA)
P0010,Milk,Dairy,356,Imported (USA)
P0011,Butter,Dairy,75,Local Manufacturer
P0012,Butter,Dairy,930,Local Manufacturer
P0013,Yogurt,Dairy,817,Local Farm
P0014,Yogurt,Dairy,492,Local Manufacturer
P0015,Yogurt,Dairy,735,Local Farm
P0016,Milk,Dairy,327,Imported (USA)
P0017,Yogurt,Dairy,582,Local Manufacturer
P0018,Yogurt,Dairy,668,Local Manufacturer
P0019,Ice Cream,Dairy,382,Imported (USA)
P0020,Milk,Dairy,886,Imported (USA)
P0021,Butter,Dairy,957,Imported (China)
P0022,Butter,Dairy,807,Local Manufacturer
P0023,Ice Cream,Dairy,336,Factory B
P0024,Yogurt,Dairy,966,Local Manufacturer
P0025,Yogurt,Dairy,259,Factory A
P0026,Ice Cream,Dairy,667,Imported (China)
P0027,Yogurt,Dairy,424,Imported (USA)
P0028,Butter,Dairy,857,Factory A
P0029,Yogurt,Dairy,304,Imported (USA)
P0030,Milk,Dairy,536,Imported (USA)
P0031,Yogurt,Dairy,481,Local Farm
P0032,Butter,Dairy,427,Factory A
P0033,Ice Cream,Dairy,639,Local Farm
P0034,Ice Cream,Dairy,800,Factory B
P0035,Yogurt,Dairy,534,Local Farm
P0036,Butter,Dairy,772,Imported (China)
P0037,Yogurt,Dairy,356,Factory A
P0038,Cheese,Dairy,564,Local Manufacturer
P0039,Milk,Dairy,903,Imported (China)
P0040,Yogurt,Dairy,829,Local Farm
P0041,Butter,Dairy,958,Imported (USA)
P0042,Ice Cream,Dairy,729,Local Farm
P0043,Milk,Dairy,560,Imported (USA)
P0044,Cheese,Dairy,523,Imported (USA)
P0045,Milk,Dairy,631,Factory A
P0046,Ice Cream,Dairy,457,Factory B
P0047,Yogurt,Dairy,960,Imported (China)
P0048,Yogurt,Dairy,205,Factory B
P0049,Butter,Dairy,312,Local Manufacturer
P0050,Cheese,Dairy,682,Local Manufacturer
P0051,Ice Cream,Dairy,703,Local Farm
P0052,Milk,Dairy,562,Imported (China)
P0053,Butter,Dairy,861,Factory B
P0054,Yogurt,Dairy,228,Local Manufacturer
P0055,Yogurt,Dairy,755,Local Manufacturer
P0056,Ice Cream,Dairy,330,Local Manufacturer
P0057,Yogurt,Dairy,583,Local Manufacturer
P0058,Yogurt,Dairy,724,Factory A
P0059,Butter,Dairy,337,Local Farm
P0060,Milk,Dairy,727,Imported (China)
P0061,Cheese,Dairy,976,Factory B
P0062,Cheese,Dairy,842,Imported (USA)
P0063,Ice Cream,Dairy,889,Factory B
P0064,Yogurt,Dairy,866,Imported (China)
P0065,Milk,Dairy,789,Imported (China)
P0066,Yogurt,Dairy,958,Factory B
P0067,Ice Cream,Dairy,442,Local Farm
P0068,Ice Cream,Dairy,922,Local Manufacturer
P0069,Butter,Dairy,953,Factory B
P0070,Milk,Dairy,383,Local Farm
P0071,Butter,Dairy,209,Factory A
P0072,Cardboard Box,Packaging,86,Local Manufacturer
P0073,Containers,Packaging,430,Imported (China)
P0074,Plastic Wrap,Packaging,461,Factory A
P0075,Packaging,Packaging,59,Factory B
P0076,Packaging,Packaging,633,Local Manufacturer
P0077,Packaging,Packaging,61,Imported (China)
P0078,Cardboard Box,Packaging,600,Factory B
P0079,Plastic Wrap,Packaging,953,Factory B
P0080,Containers,Packaging,554,Factory A
P0081,Packaging,Packaging,794,Imported (USA)
P0082,Styrofoam,Packaging,290,Imported (USA)
P0083,Styrofoam,Packaging,660,Local Manufacturer
P0084,Styrofoam,Packaging,462,Imported (USA)
P0085,Packaging,Packaging,467,Imported (China)
P0086,Plastic Wrap,Packaging,777,Factory B
P0087,Packaging,Packaging,910,Local Farm
P0088,Containers,Packaging,993,Local Farm
P0089,Containers,Packaging,149,Imported (USA)
P0090,Plastic Wrap,Packaging,981,Local Manufacturer
P0091,Containers,Packaging,700,Factory A
P0092,Packaging,Packaging,543,Factory B
P0093,Cardboard Box,Packaging,535,Factory B
P0094,Styrofoam,Packaging,959,Imported (USA)
P0095,Cardboard Box,Packaging,676,Factory A
P0096,Containers,Packaging,980,Local Manufacturer
P0097,Plastic Wrap,Packaging,140,Local Manufacturer
P0098,Styrofoam,Packaging,308,Factory A
P0099,Packaging,Packaging,810,Local Farm
P0100,Containers,Packaging,531,Imported (China)
P0101,Cardboard Box,Packaging,253,Local Manufacturer
P0102,Packaging,Packaging,550,Factory A
P0103,Plastic Wrap,Packaging,166,Imported (USA)
P0104,Plastic Wrap,Packaging,272,Imported (USA)
P0105,Cardboard Box,Packaging,461,Imported (China)
P0106,Cardboard Box,Packaging,886,Local Farm
P0107,Styrofoam,Packaging,493,Local Farm
P0108,Packaging,Packaging,56,Imported (USA)
P0109,Styrofoam,Packaging,153,Imported (China)
P0110,Styrofoam,Packaging,526,Local Manufacturer
P0111,Containers,Packaging,831,Factory A
P0112,Cardboard Box,Packaging,938,Factory A
P0113,Styrofoam,Packaging,858,Local Manufacturer
P0114,Cardboard Box,Packaging,974,Imported (China)
P0115,Containers,Packaging,675,Local Farm
P0116,Cardboard Box,Packaging,73,Local Farm
P0117,Packaging,Packaging,620,Local Manufacturer
P0118,Cardboard Box,Packaging,320,Factory B
P0119,Containers,Packaging,606,Factory B
P0120,Packaging,Packaging,651,Local Farm
P0121,Cardboard Box,Packaging,733,Factory B
P0122,Styrofoam,Packaging,767,Factory A
P0123,Cardboard Box,Packaging,316,Imported (China)
P0124,Containers,Packaging,356,Imported (China)
P0125,Cardboard Box,Packaging,270,Local Farm
P0126,Plastic Wrap,Packaging,314,Factory A
P0127,Plastic Wrap,Packaging,501,Factory B
P0128,Packaging,Packaging,948,Local Farm
P0129,Plastic Wrap,Packaging,773,Local Farm
P0130,Styrofoam,Packaging,958,Local Manufacturer
P0131,Containers,Packaging,228,Imported (USA)
P0132,Packaging,Packaging,66,Local Manufacturer
P0133,Containers,Packaging,591,Local Manufacturer
P0134,Styrofoam,Packaging,920,Imported (USA)
P0135,Cardboard Box,Packaging,761,Local Manufacturer
P0136,Plastic Wrap,Packaging,104,Imported (USA)
P0137,Cardboard Box,Packaging,202,Local Farm
P0138,Cardboard Box,Packaging,650,Imported (China)
P0139,Plastic Wrap,Packaging,199,Factory B
P0140,Packaging,Packaging,799,Local Farm
P0141,Containers,Packaging,483,Factory A
P0142,Packaging,Packaging,611,Imported (USA)
P0143,Headphones,Electronics,443,Factory B
P0144,Headphones,Electronics,288,Imported (China)
P0145,Battery,Electronics,244,Factory A
P0146,Battery,Electronics,469,Factory B
P0147,Battery,Electronics,963,Factory A
P0148,Phone,Electronics,632,Factory B
P0149,Headphones,Electronics,769,Imported (USA)
P0150,Laptop,Electronics,248,Local Farm
P0151,Phone,Electronics,330,Factory A
P0152,Monitor,Electronics,265,Imported (USA)
P0153,Monitor,Electronics,947,Factory B
P0154,Tablet,Electronics,975,Imported (China)
P0155,Headphones,Electronics,517,Local Manufacturer
P0156,Battery,Electronics,246,Imported (USA)
P0157,Battery,Electronics,754,Factory B
P0158,Tablet,Electronics,177,Imported (China)
P0159,Headphones,Electronics,758,Factory A
P0160,Phone,Electronics,410,Imported (China)
P0161,Tablet,Electronics,722,Factory A
P0162,Battery,Electronics,455,Factory B
P0163,Phone,Electronics,758,Factory B
P0164,Phone,Electronics,655,Imported (USA)
P0165,Tablet,Electronics,302,Imported (China)
P0166,Phone,Electronics,148,Local Manufacturer
