ProductID,Product,Category,ProductionSource,Units_Sold
P0348,Cottage Cheese,Dairy,Imported (India),264
P0089,Sour Cream,Dairy,Factory B,339
P0045,Greek Yogurt,Dairy,Imported (China),599
P0103,Cheddar Cheese,Dairy,Imported (China),705
P0428,Cottage Cheese,Dairy,Imported (EU),334
P0014,Sparkling Water,Beverages,Imported (China),805
P0439,Coconut Water,Beverages,Imported (USA),775
P0426,Butter,Dairy,Imported (USA),731
P0157,Energy Drink,Beverages,Imported (EU),937
P0497,Energy Drink,Beverages,Local Farm,277
P0034,Sparkling Water,Beverages,Imported (USA),306
P0427,Heavy Cream,Dairy,Factory B,716
P0402,Skimmed Milk,Dairy,Local Farm,607
P0075,Green Tea,Beverages,Imported (China),164
P0198,Lemonade,Beverages,Imported (India),392
P0379,Coconut Water,Beverages,Imported (China),581
P0326,Butter,Dairy,Local Farm,519
P0001,Whole Milk,Dairy,Imported (USA),39
P0159,Coconut Water,Beverages,Imported (India),103
P0298,Lemonade,Beverages,Local Manufacturer,138
P0037,Energy Drink,Beverages,Imported (India),189
P0264,Mozzarella,Dairy,Imported (China),675
P0209,Sour Cream,Dairy,Imported (EU),656
P0180,Soda,Beverages,Imported (India),123
P0134,Sparkling Water,Beverages,Factory A,748
P0412,Apple Juice,Beverages,Local Farm,732
P0175,Green Tea,Beverages,Imported (EU),469
P0232,Apple Juice,Beverages,Imported (USA),830
P0207,Heavy Cream,Dairy,Factory A,860
P0260,Soda,Beverages,Imported (EU),791
P0201,Whole Milk,Dairy,Local Manufacturer,363
P0055,Green Tea,Beverages,Local Manufacturer,259
P0442,Skimmed Milk,Dairy,Imported (USA),965
P0143,Cheddar Cheese,Dairy,Imported (EU),482
P0420,Soda,Beverages,Imported (China),702
P0108,Cottage Cheese,Dairy,Imported (USA),751
P0288,Cottage Cheese,Dairy,Factory A,252
P0432,Apple Juice,Beverages,Imported (India),927
P0151,Orange Juice,Beverages,Imported (EU),905
P0252,Apple Juice,Beverages,Factory A,78
P0086,Butter,Dairy,Local Manufacturer,639
P0211,Orange Juice,Beverages,Factory A,74
P0317,Energy Drink,Beverages,Factory A,616
P0386,Butter,Dairy,Imported (EU),541
P0228,Cottage Cheese,Dairy,Imported (EU),926
P0322,Skimmed Milk,Dairy,Local Farm,981
P0101,Whole Milk,Dairy,Imported (USA),406
P0347,Heavy Cream,Dairy,Imported (India),894
P0224,Mozzarella,Dairy,Imported (China),289
P0401,Whole Milk,Dairy,Factory B,748
P0200,Soda,Beverages,Local Farm,375
P0188,Cottage Cheese,Dairy,Local Farm,657
P0291,Orange Juice,Beverages,Imported (China),488
P0099,Coconut Water,Beverages,Factory A,382
P0358,Lemonade,Beverages,Factory B,230
P0054,Sparkling Water,Beverages,Imported (India),874
P0015,Green Tea,Beverages,Local Manufacturer,914
P0183,Cheddar Cheese,Dairy,Local Farm,254
P0007,Heavy Cream,Dairy,Imported (India),81
P0148,Cottage Cheese,Dairy,Factory B,830
P0078,Lemonade,Beverages,Imported (USA),825
P0355,Green Tea,Beverages,Local Farm,102
P0398,Lemonade,Beverages,Imported (USA),825
P0353,Mineral Water,Beverages,Imported (EU),520
P0163,Cheddar Cheese,Dairy,Local Farm,434
P0467,Heavy Cream,Dairy,Imported (USA),907
P0094,Sparkling Water,Beverages,Imported (China),741
P0133,Mineral Water,Beverages,Factory A,195
P0253,Mineral Water,Beverages,Factory B,807
P0293,Mineral Water,Beverages,Local Manufacturer,77
P0119,Coconut Water,Beverages,Imported (India),530
P0385,Greek Yogurt,Dairy,Imported (China),833
P0304,Mozzarella,Dairy,Factory A,453
P0019,Coconut Water,Beverages,Local Manufacturer,288
P0429,Sour Cream,Dairy,Imported (EU),367
P0161,Whole Milk,Dairy,Imported (EU),915
P0274,Sparkling Water,Beverages,Local Manufacturer,148
P0333,Mineral Water,Beverages,Imported (EU),435
P0480,Soda,Beverages,Imported (USA),745
P0483,Cheddar Cheese,Dairy,Imported (USA),591
P0389,Sour Cream,Dairy,Imported (China),176
P0166,Butter,Dairy,Imported (India),93
P0010,Ice Cream,Dairy,Factory B,395
P0100,Soda,Beverages,Imported (China),949
P0464,Mozzarella,Dairy,Local Farm,866
P0441,Whole Milk,Dairy,Factory B,857
P0337,Energy Drink,Beverages,Imported (China),761
P0144,Mozzarella,Dairy,Imported (USA),806
P0284,Mozzarella,Dairy,Factory A,822
P0006,Butter,Dairy,Factory A,589
P0421,Whole Milk,Dairy,Imported (USA),634
P0169,Sour Cream,Dairy,Local Manufacturer,869
P0301,Whole Milk,Dairy,Imported (EU),706
P0043,Cheddar Cheese,Dairy,Local Farm,480
P0239,Coconut Water,Beverages,Imported (China),686
P0490,Ice Cream,Dairy,Factory A,498
P0064,Mozzarella,Dairy,Factory B,937
P0366,Butter,Dairy,Imported (USA),754
P0022,Skimmed Milk,Dairy,Imported (EU),434
P0221,Whole Milk,Dairy,Factory B,302
P0484,Mozzarella,Dairy,Factory B,189
P0399,Coconut Water,Beverages,Local Farm,621
P0325,Greek Yogurt,Dairy,Imported (India),642
P0372,Apple Juice,Beverages,Imported (USA),85
P0283,Cheddar Cheese,Dairy,Factory A,738
P0369,Sour Cream,Dairy,Local Farm,420
P0049,Sour Cream,Dairy,Local Manufacturer,424
P0424,Mozzarella,Dairy,Imported (USA),240
P0419,Coconut Water,Beverages,Imported (China),569
P0205,Greek Yogurt,Dairy,Local Farm,370
P0300,Soda,Beverages,Local Manufacturer,470
P0313,Mineral Water,Beverages,Factory B,660
P0110,Ice Cream,Dairy,Local Manufacturer,606
P0084,Mozzarella,Dairy,Imported (China),861
P0011,Orange Juice,Beverages,Imported (India),474
P0257,Energy Drink,Beverages,Factory A,705
P0204,Mozzarella,Dairy,Imported (China),146
P0088,Cottage Cheese,Dairy,Local Farm,470
P0220,Soda,Beverages,Local Farm,781
P0327,Heavy Cream,Dairy,Imported (USA),667
P0457,Energy Drink,Beverages,Imported (USA),671
P0309,Sour Cream,Dairy,Imported (China),967
P0414,Sparkling Water,Beverages,Factory B,584
P0197,Energy Drink,Beverages,Imported (EU),54
P0340,Soda,Beverages,Imported (China),537
P0250,Ice Cream,Dairy,Local Farm,156
P0320,Soda,Beverages,Local Farm,855
P0266,Butter,Dairy,Local Manufacturer,36
P0290,Ice Cream,Dairy,Imported (China),577
P0280,Soda,Beverages,Local Manufacturer,573
P0478,Lemonade,Beverages,Factory A,758
P0065,Greek Yogurt,Dairy,Imported (China),369
P0050,Ice Cream,Dairy,Local Farm,999
P0241,Whole Milk,Dairy,Imported (EU),627
P0174,Sparkling Water,Beverages,Factory A,787
P0172,Apple Juice,Beverages,Local Farm,303
P0302,Skimmed Milk,Dairy,Imported (China),141
P0028,Cottage Cheese,Dairy,Imported (USA),56
P0046,Butter,Dairy,Imported (India),597
P0111,Orange Juice,Beverages,Factory A,948
P0129,Sour Cream,Dairy,Local Farm,687
P0392,Apple Juice,Beverages,Imported (China),529
P0308,Cottage Cheese,Dairy,Factory A,175
P0268,Cottage Cheese,Dairy,Imported (India),945
P0071,Orange Juice,Beverages,Local Manufacturer,191
P0136,Black Coffee,Beverages,Imported (India),383
P0363,Cheddar Cheese,Dairy,Local Farm,877
P0004,Mozzarella,Dairy,Imported (China),369
P0422,Skimmed Milk,Dairy,Imported (EU),206
P0223,Cheddar Cheese,Dairy,Local Farm,896
P0418,Lemonade,Beverages,Factory A,480
P0191,Orange Juice,Beverages,Imported (India),11
P0498,Lemonade,Beverages,Imported (China),719
P0397,Energy Drink,Beverages,Local Manufacturer,436
P0417,Energy Drink,Beverages,Imported (India),331
P0173,Mineral Water,Beverages,Imported (EU),722
P0096,Black Coffee,Beverages,Factory A,50
P0117,Energy Drink,Beverages,Factory A,696
P0130,Ice Cream,Dairy,Imported (China),907
P0056,Black Coffee,Beverages,Imported (India),613
P0003,Cheddar Cheese,Dairy,Imported (USA),953
P0039,Coconut Water,Beverages,Factory B,522
P0338,Lemonade,Beverages,Imported (China),418
P0433,Mineral Water,Beverages,Imported (India),848
P0162,Skimmed Milk,Dairy,Imported (China),962
P0255,Green Tea,Beverages,Imported (India),982
P0486,Butter,Dairy,Imported (India),537
P0365,Greek Yogurt,Dairy,Factory A,913
P0013,Mineral Water,Beverages,Imported (China),329
P0020,Soda,Beverages,Imported (EU),687
P0344,Mozzarella,Dairy,Imported (EU),263
P0135,Green Tea,Beverages,Imported (EU),54
P0016,Black Coffee,Beverages,Local Farm,169
P0409,Sour Cream,Dairy,Factory A,432
P0139,Coconut Water,Beverages,Imported (EU),249
P0430,Ice Cream,Dairy,Imported (USA),304
P0184,Mozzarella,Dairy,Imported (India),664
P0140,Soda,Beverages,Factory B,326
P0491,Orange Juice,Beverages,Imported (China),968
P0182,Skimmed Milk,Dairy,Imported (USA),134
P0091,Orange Juice,Beverages,Factory A,990
