ProductID,Product,Category,ProductionSource,Units_Sold
P10001,Car,Transport,Warehouse Distribution,3509
P10002,Car,Transport,Warehouse Distribution,775
P10003,Laptop,Electronics,Manufacturing,1130
P10004,Monitor,Electronics,Import,1157
P10005,Nylon,Textile,Cold Chain,1526
P10006,Chicken,Food,Local Supplier,4737
P10007,Milk,Dairy,Cold Chain,1747
P10008,Chicken,Food,Local Supplier,4778
P10009,Straw,Plastic,Manufacturing,3085
P10010,Car,Transport,Warehouse Distribution,4593
P10011,Cream,Dairy,Warehouse Distribution,1051
P10012,Polyester,Textile,Transport,4085
P10013,Straw,Plastic,Transport,235
P10014,Car,Transport,Cold Chain,977
P10015,Plastic Wrap,Packaging,Transport,1763
P10016,Conventional Cotton,Textile,Manufacturing,868
P10017,Monitor,Electronics,Manufacturing,1414
P10018,Lamb,Food,Transport,3459
P10019,Plastic Wrap,Packaging,Import,2339
P10020,Styrofoam,Packaging,Import,4716
P10021,Cutlery,Plastic,Manufacturing,2150
P10022,Phone,Electronics,Import,423
P10023,Phone,Electronics,Cold Chain,4000
P10024,Plastic Wrap,Packaging,Warehouse Distribution,2059
P10025,Plastic Wrap,Packaging,Warehouse Distribution,4315
P10026,Phone,Electronics,Transport,2060
P10027,Laptop,Electronics,Local Supplier,3932
P10028,Conventional Cotton,Textile,Manufacturing,1066
P10029,Lamb,Food,Import,70
P10030,Pork,Food,Manufacturing,4687
P10031,Lamb,Food,Cold Chain,2610
P10032,Butter,Dairy,Import,4610
P10033,Rayon,Textile,Import,1721
P10034,Plastic Wrap,Packaging,Cold Chain,4246
P10035,Lamb,Food,Import,4043
P10036,Butter,Dairy,Warehouse Distribution,173
P10037,Packaging,Plastic,Import,1851
P10038,Cream,Dairy,Cold Chain,2292
P10039,Conventional Cotton,Textile,Import,2345
P10040,Cheese,Dairy,Cold Chain,1449
P10041,Car,Transport,Warehouse Distribution,1142
P10042,Monitor,Electronics,Cold Chain,4953
P10043,Plastic Wrap,Packaging,Transport,724
P10044,Processed Food,Food,Manufacturing,3818
P10045,Cream,Dairy,Local Supplier,4876
P10046,Flight,Transport,Warehouse Distribution,1514
P10047,Beef,Food,Warehouse Distribution,4479
P10048,Flight,Transport,Import,483
P10049,Cheese,Dairy,Local Supplier,445
P10050,Processed Food,Food,Import,1021
P10051,Conventional Cotton,Textile,Local Supplier,1619
P10052,Laptop,Electronics,Cold Chain,3775
P10053,Monitor,Electronics,Import,2003
P10054,Beef,Food,Transport,3435
P10055,Conventional Cotton,Textile,Local Supplier,804
P10056,Laptop,Electronics,Warehouse Distribution,2221
P10057,Styrofoam,Packaging,Cold Chain,2376
P10058,Flight,Transport,Local Supplier,1119
P10059,Straw,Plastic,Transport,2075
P10060,Nylon,Textile,Import,1692
P10061,Processed Food,Food,Local Supplier,3281
P10062,Plastic Wrap,Packaging,Import,1214
P10063,Beef,Food,Manufacturing,1428
P10064,Beef,Food,Local Supplier,998
P10065,Pork,Food,Warehouse Distribution,2606
P10066,Cutlery,Plastic,Import,1788
P10067,Cutlery,Plastic,Import,4610
P10068,Car,Transport,Transport,4192
P10069,Cream,Dairy,Warehouse Distribution,2122
P10070,Butter,Dairy,Local Supplier,840
P10071,Cheese,Dairy,Local Supplier,2658
P10072,Straw,Plastic,Import,1874
P10073,Butter,Dairy,Manufacturing,1691
P10074,Flight,Transport,Transport,4631
P10075,Plastic Wrap,Packaging,Transport,3151
P10076,Straw,Plastic,Local Supplier,3485
P10077,Flight,Transport,Import,4950
P10078,Styrofoam,Packaging,Warehouse Distribution,4977
P10079,Flight,Transport,Warehouse Distribution,4489
P10080,Chicken,Food,Warehouse Distribution,3350
P10081,Chicken,Food,Local Supplier,2632
P10082,Monitor,Electronics,Manufacturing,3067
P10083,Car,Transport,Cold Chain,1725
P10084,Nylon,Textile,Import,1391
P10085,Yogurt,Dairy,Local Supplier,1817
P10086,Bag,Plastic,Warehouse Distribution,264
P10087,Monitor,Electronics,Import,461
P10088,Packaging,Plastic,Transport,432
P10089,Milk,Dairy,Warehouse Distribution,1145
P10090,Phone,Electronics,Cold Chain,3178
P10091,Cheese,Dairy,Import,1031
P10092,Car,Transport,Cold Chain,4217
P10093,Plastic Wrap,Packaging,Transport,840
P10094,Plastic Wrap,Packaging,Import,3030
P10095,Conventional Cotton,Textile,Transport,66
P10096,Yogurt,Dairy,Cold Chain,3093
P10097,Plastic Wrap,Packaging,Local Supplier,3838
P10098,Car,Transport,Manufacturing,2622
P10099,Bag,Plastic,Transport,379
P10100,Car,Transport,Manufacturing,3900
P10101,Packaging,Plastic,Warehouse Distribution,3051
P10102,Bottle,Plastic,Warehouse Distribution,775
P10103,Rayon,Textile,Manufacturing,2953
P10104,Packaging,Plastic,Manufacturing,4779
P10105,Flight,Transport,Warehouse Distribution,407
P10106,Plastic Wrap,Packaging,Cold Chain,2567
P10107,Styrofoam,Packaging,Cold Chain,882
P10108,Beef,Food,Import,71
P10109,Monitor,Electronics,Cold Chain,3991
P10110,Chicken,Food,Manufacturing,1296
P10111,Straw,Plastic,Cold Chain,1712
P10112,Packaging,Plastic,Import,693
P10113,Beef,Food,Warehouse Distribution,1266
P10114,Lamb,Food,Cold Chain,428
P10115,Yogurt,Dairy,Cold Chain,4946
P10116,Nylon,Textile,Local Supplier,175
P10117,Milk,Dairy,Import,3448
P10118,Cutlery,Plastic,Local Supplier,3934
P10119,Car,Transport,Cold Chain,1684
P10120,Pork,Food,Local Supplier,4796
P10121,Phone,Electronics,Import,3567
P10122,Car,Transport,Manufacturing,2892
P10123,Styrofoam,Packaging,Manufacturing,4625
P10124,Processed Food,Food,Cold Chain,1992
P10125,Styrofoam,Packaging,Transport,1548
P10126,Chicken,Food,Manufacturing,842
P10127,Rayon,Textile,Warehouse Distribution,1941
P10128,Styrofoam,Packaging,Warehouse Distribution,1481
P10129,Plastic Wrap,Packaging,Cold Chain,1882
P10130,Cheese,Dairy,Local Supplier,4588
P10131,Car,Transport,Manufacturing,4960
P10132,Plastic Wrap,Packaging,Warehouse Distribution,2356
P10133,Rayon,Textile,Cold Chain,1412
P10134,Chicken,Food,Warehouse Distribution,4061
P10135,Cutlery,Plastic,Cold Chain,2692
P10136,Styrofoam,Packaging,Local Supplier,3940
P10137,Laptop,Electronics,Import,1857
P10138,Rayon,Textile,Import,4907
P10139,Lamb,Food,Transport,451
P10140,Plastic Wrap,Packaging,Warehouse Distribution,2900
P10141,Flight,Transport,Transport,867
P10142,Monitor,Electronics,Local Supplier,3378
P10143,Car,Transport,Warehouse Distribution,3447
P10144,Cheese,Dairy,Local Supplier,3887
P10145,Yogurt,Dairy,Warehouse Distribution,332
P10146,Straw,Plastic,Cold Chain,1633
P10147,Milk,Dairy,Cold Chain,522
P10148,Butter,Dairy,Transport,2877
P10149,Straw,Plastic,Cold Chain,1625
P10150,Lamb,Food,Manufacturing,401
P10151,Yogurt,Dairy,Warehouse Distribution,3875
P10152,Phone,Electronics,Cold Chain,2914
P10153,Nylon,Textile,Local Supplier,1936
P10154,Car,Transport,Local Supplier,2479
P10155,Car,Transport,Cold Chain,3883
P10156,Butter,Dairy,Cold Chain,563
P10157,Nylon,Textile,Warehouse Distribution,201
P10158,Cream,Dairy,Warehouse Distribution,2111
P10159,Phone,Electronics,Warehouse Distribution,2414
P10160,Laptop,Electronics,Import,96
P10161,Packaging,Plastic,Cold Chain,4006
P10162,Butter,Dairy,Local Supplier,123
P10163,Bottle,Plastic,Local Supplier,3466
P10164,Cream,Dairy,Transport,1985
P10165,Lamb,Food,Local Supplier,3425
P10166,Processed Food,Food,Local Supplier,3859
P10167,Straw,Plastic,Warehouse Distribution,547
P10168,Monitor,Electronics,Warehouse Distribution,2746
P10169,Nylon,Textile,Import,2316
P10170,Pork,Food,Transport,1903
P10171,Bottle,Plastic,Warehouse Distribution,2277
P10172,Plastic Wrap,Packaging,Local Supplier,2857
P10173,Processed Food,Food,Local Supplier,2048
P10174,Milk,Dairy,Warehouse Distribution,3058
P10175,Bag,Plastic,Local Supplier,1802
P10176,Butter,Dairy,Manufacturing,4499
P10177,Car,Transport,Local Supplier,607
P10178,Rayon,Textile,Local Supplier,291
P10179,Milk,Dairy,Import,3104
P10180,Styrofoam,Packaging,Warehouse Distribution,3571
P10181,Nylon,Textile,Manufacturing,4144
P10182,Cutlery,Plastic,Import,2274
P10183,Styrofoam,Packaging,Warehouse Distribution,209
P10184,Laptop,Electronics,Warehouse Distribution,3826
P10185,Packaging,Plastic,Warehouse Distribution,3189
P10186,Straw,Plastic,Import,3619
P10187,Cheese,Dairy,Local Supplier,3028
P10188,Cream,Dairy,Manufacturing,903
P10189,Yogurt,Dairy,Manufacturing,1511
P10190,Butter,Dairy,Cold Chain,3020
P10191,Polyester,Textile,Import,3497
P10192,Bottle,Plastic,Warehouse Distribution,3387
P10193,Conventional Cotton,Textile,Cold Chain,3784
P10194,Bag,Plastic,Import,2359
P10195,Monitor,Electronics,Import,2245
P10196,Nylon,Textile,Cold Chain,2417
P10197,Monitor,Electronics,Local Supplier,4644
P10198,Flight,Transport,Warehouse Distribution,94
P10199,Plastic Wrap,Packaging,Transport,4875
P10200,Rayon,Textile,Local Supplier,2370
P10201,Chicken,Food,Import,143
P10202,Styrofoam,Packaging,Cold Chain,902
P10203,Rayon,Textile,Manufacturing,3245
P10204,Styrofoam,Packaging,Cold Chain,3215
P10205,Milk,Dairy,Local Supplier,594
P10206,Monitor,Electronics,Cold Chain,3920
P10207,Styrofoam,Packaging,Local Supplier,1504
P10208,Styrofoam,Packaging,Cold Chain,1995
P10209,Monitor,Electronics,Import,2745
P10210,Cheese,Dairy,Transport,2382
P10211,Styrofoam,Packaging,Cold Chain,3073
P10212,Conventional Cotton,Textile,Local Supplier,2232
P10213,Milk,Dairy,Local Supplier,1360
P10214,Laptop,Electronics,Manufacturing,4216
P10215,Nylon,Textile,Cold Chain,2508
P10216,Lamb,Food,Warehouse Distribution,3999
